id,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,mental_health_consequence
M080,28,m,Germany,NA,No,No,Yes,Never,Jun-25,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA,Yes
M081,38,Male,United States,NY,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,Yes,Some of them,Maybe,Maybe,Yes,No,NA,Yes
M082,23,Male,United Kingdom,NA,No,No,No,Never,26-100,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,Yes
M083,30,male,Canada,NA,No,No,No,Never,26-100,No,No,No,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,No,No,NA,No
M084,27,Cis Female,United States,NY,Yes,No,Yes,Often,01-May,Yes,No,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Some of them,Yes,No,Maybe,Yes,No,NA,No
M085,33,Male,United States,CA,No,Yes,No,Never,More than 1000,No,No,No,No,No,No,Don't know,Don't know,No,No,No,No,Maybe,No,No,NA,Yes
M086,31,Male,United States,TX,No,No,No,NA,26-100,No,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,No,No,NA,Yes
M087,39,Male,United Kingdom,NA,Yes,No,Yes,Often,Jun-25,No,No,No,No,No,No,Don't know,Very difficult,No,Some of them,No,No,Maybe,No,Yes,NA,Yes
M088,34,female,United States,OR,No,Yes,Yes,Rarely,500-1000,Yes,No,Yes,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M089,29,F,United States,FL,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Maybe,No,Yes,NA,Yes
M090,32,M,United States,IL,No,Yes,No,NA,500-1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M091,31,Male,United States,NY,No,Yes,No,Never,500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,NA,Yes
M092,40,male,United States,TX,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,Yes,Very difficult,No,Yes,Yes,Yes,Yes,No,No,NA,Yes
M093,34,Male,United States,OH,No,Yes,No,NA,26-100,No,No,Don't know,No,No,No,Don't know,Somewhat easy,No,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M094,18,something kinda male?,Russia,NA,No,Yes,No,NA,26-100,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Yes,Yes,Don't know,No,In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.,Yes
M095,25,F,Canada,NA,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,Yes
M096,29,male,United States,MN,No,No,No,Never,26-100,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,No,No,NA,Yes
M097,24,Male,United States,MO,No,Yes,No,Rarely,26-100,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M098,31,male,Mexico,NA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,No,No,NA,Yes
M099,33,Cis Male,United States,AZ,No,No,Yes,Sometimes,Jun-25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,No,No,Maybe,No,No,NA,No
M100,30,M,United States,IN,No,No,Yes,Often,01-May,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,No
M101,26,female,Canada,NA,No,Yes,Yes,Sometimes,26-100,No,No,No,Yes,No,No,No,Very difficult,No,No,No,No,Maybe,No,Yes,In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.,Yes
M102,44,Female,United States,MA,No,No,No,Never,100-500,No,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Don't know,No,NA,Yes
M103,25,Male,United States,NY,No,Yes,No,NA,26-100,No,No,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M104,33,Male,United States,WI,No,Yes,Yes,Sometimes,26-100,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,Yes
M105,29,Male,United States,NY,No,No,No,Never,More than 1000,No,No,Yes,Not sure,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M106,35,Male,United States,MO,No,Yes,No,Rarely,Jun-25,No,No,Yes,Not sure,No,No,Yes,Somewhat easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M107,35,M,United States,OR,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,Maybe,No,No,I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.,Yes
M108,28,Male,Brazil,NA,No,Yes,Yes,Rarely,Jun-25,No,Yes,No,No,No,No,No,Don't know,No,Yes,Yes,No,No,Don't know,Yes,NA,Yes
M109,34,m,United States,TN,No,Yes,No,Never,Jun-25,Yes,No,Yes,No,No,No,Don't know,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M110,32,Male,United States,WA,No,No,Yes,Sometimes,26-100,No,No,Yes,No,Yes,Yes,Yes,Somewhat difficult,No,Some of them,Yes,No,Maybe,Yes,No,NA,No
M111,22,Male,United States,NY,No,No,Yes,Sometimes,500-1000,No,No,Yes,Yes,No,Don't know,Yes,Don't know,No,No,No,No,Yes,No,No,NA,Yes
M112,28,Male,United States,CA,No,No,Yes,Sometimes,26-100,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Some of them,No,Maybe,Yes,No,NA,Yes
M113,45,male,United States,MO,No,Yes,Yes,Rarely,Jun-25,Yes,No,Yes,Yes,No,Yes,Yes,Very easy,No,Yes,Yes,Yes,Yes,Yes,No,NA,Yes
M114,32,Male,United States,NY,No,Yes,Yes,Never,100-500,No,No,Yes,Yes,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M115,28,male,United States,TX,No,Yes,Yes,NA,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,No,No,Maybe,Don't know,No,NA,No
M116,26,Male,United Kingdom,NA,No,Yes,Yes,Never,Jun-25,No,Yes,Don't know,No,No,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,No,Don't know,Yes,NA,No
M117,21,Male,United Kingdom,NA,Yes,Yes,No,Often,01-May,Yes,No,No,Yes,No,No,Yes,Very difficult,No,Some of them,Yes,No,Maybe,No,No,NA,Yes
M118,27,Male,Canada,NA,No,Yes,No,Rarely,Jun-25,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M119,18,Male,United States,CT,No,Yes,Yes,Rarely,01-May,Yes,Yes,No,No,No,No,Yes,Very easy,No,Some of them,No,No,No,Don't know,No,NA,No
M120,35,Male,United States,CO,No,No,Yes,NA,26-100,Yes,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,No
M121,29,Male,United States,GA,No,No,Yes,Never,More than 1000,No,No,Yes,Yes,No,Yes,Don't know,Don't know,Yes,No,No,No,No,Don't know,No,NA,Yes
M122,25,Male,United States,DC,No,No,No,NA,26-100,Yes,No,Don't know,No,No,No,Don't know,Very easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M123,33,Male,United States,MN,No,Yes,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,No,Don't know,Don't know,Yes,Very easy,No,Yes,Yes,No,Maybe,Yes,No,NA,Yes
M124,36,Male,United States,WA,No,No,No,Often,Jun-25,No,Yes,Yes,No,No,No,Yes,Don't know,No,No,No,No,No,Don't know,No,NA,No
M125,27,Male,Canada,NA,No,No,Yes,Never,100-500,No,No,Yes,Not sure,No,No,Don't know,Very difficult,No,Some of them,Yes,No,Maybe,No,Yes,NA,No
M126,27,Male,United States,WA,No,Yes,No,Never,500-1000,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,No,No,Yes,Don't know,No,NA,Yes
M127,27,Male,United Kingdom,NA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M128,32,M,United States,OR,No,No,Yes,Rarely,100-500,No,No,Yes,Yes,No,Yes,Yes,Don't know,No,No,Yes,No,No,Don't know,No,NA,Yes
M129,31,Male,United Kingdom,NA,No,Yes,No,Sometimes,Jun-25,No,No,No,No,No,No,Don't know,Somewhat easy,Maybe,No,No,No,No,Yes,No,NA,Yes
M130,19,male,Slovenia,NA,No,No,Yes,Sometimes,Jun-25,No,No,Don't know,No,No,No,Don't know,Somewhat easy,Yes,Some of them,No,No,No,Don't know,No,NA,Yes
M131,33,Male,United States,IL,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,No,Don't know,Very easy,No,Yes,Some of them,No,Yes,No,No,NA,Yes
M132,32,male,United States,CA,No,Yes,No,Rarely,01-May,Yes,No,No,Yes,No,No,Don't know,Very difficult,No,Yes,Some of them,No,Yes,Don't know,No,NA,Yes
M133,27,Male,United States,NE,No,Yes,No,Never,26-100,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA,Yes
M134,38,Male,Costa Rica,NA,No,Yes,No,NA,26-100,Yes,Yes,No,Yes,No,No,Yes,Somewhat easy,No,Yes,Yes,Maybe,Yes,No,No,NA,Yes
M135,24,Male,Canada,NA,No,Yes,Yes,Never,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA,No
M136,39,M,United Kingdom,NA,No,Yes,No,Never,26-100,No,No,No,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,Don't know,No,NA,Yes
M137,28,Male,United Kingdom,NA,No,Yes,No,Never,Jun-25,No,No,Don't know,No,No,No,Yes,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,Yes
M138,39,Male,United States,IA,No,Yes,Yes,Often,More than 1000,No,No,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,No,No,Don't know,No,NA,Yes
M139,29,Female,United States,MD,No,No,No,NA,Jun-25,No,No,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,No,Don't know,No,NA,Yes
M140,22,m,Austria,NA,No,No,No,NA,Jun-25,Yes,Yes,Don't know,No,Don't know,No,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M141,38,Male,United States,OR,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
